iter	RMSE
0	0.8354854399
1	0.8350875627
2	0.8347412812
3	0.8345428878
4	0.8343478926
5	0.8339930677
6	0.8338287539
7	0.8336529484
8	0.83342563
9	0.8331376925
10	0.8329990849
11	0.8327328955
12	0.8324859192
13	0.8321430537
14	0.8318945523
15	0.8317012032
16	0.8313743273
17	0.8312196241
18	0.8308786933
19	0.8305705082
20	0.8303880263
21	0.8300699451
22	0.8297296297
23	0.8295487367
24	0.8293828192
25	0.8292126681
26	0.8289805951
27	0.8287498334
28	0.8284914553
29	0.8283819143
30	0.8282134549
31	0.8281000684
32	0.8278694435
33	0.8275997151
34	0.8274400512
35	0.8272355805
36	0.8269787412
37	0.8268209574
38	0.8266170495
39	0.8264292013
40	0.8263358236
41	0.8260355142
42	0.8259094823
43	0.8256125883
44	0.8253583181
45	0.8251563131
46	0.8249462553
47	0.8248536926
48	0.8247267438
49	0.8244697586
50	0.8243505284
51	0.8241400089
52	0.8239161482
53	0.8236734295
54	0.8235365395
55	0.823433944
56	0.8233303964
57	0.8230866594
58	0.8229801106
59	0.8227170223
60	0.8225357206
61	0.8223443203
62	0.8222333552
63	0.8221065725
64	0.8219997357
65	0.8218881507
66	0.8217909519
67	0.8215715413
68	0.8214639384
69	0.8213437789
70	0.8212683834
71	0.8211455683
72	0.821028309
73	0.8207574039
74	0.8205692853
75	0.8204864508
76	0.8203862205
77	0.8201866265
78	0.8200900371
79	0.8198484145
80	0.8197403847
81	0.8195384533
82	0.8193500017
83	0.8192833742
84	0.8192203081
85	0.8190701564
86	0.8190002608
87	0.818801502
88	0.8187086405
89	0.8185125787
90	0.8182949902
91	0.8180549126
92	0.8178452135
93	0.8177700682
94	0.8176752604
95	0.8174170061
96	0.8173348724
97	0.8172182886
98	0.8171390588
99	0.8170682993
100	0.8170002749
101	0.8168985935
102	0.8168167518
103	0.8167359712
104	0.8166148425
105	0.8164451529
106	0.8162152282
107	0.8161587352
108	0.8160269111
109	0.8159308371
110	0.8158446594
111	0.81575372
112	0.8156794637
113	0.8156232892
114	0.8155413547
115	0.8153364878
116	0.8152551518
117	0.8151608101
118	0.8150663322
119	0.814984027
120	0.8147902396
121	0.8146973147
122	0.8144117339
123	0.8143138296
124	0.8142378316
125	0.8141565377
126	0.8140590112
127	0.8139680453
128	0.8138663077
129	0.8136831436
130	0.8136156266
131	0.8133870434
132	0.8132981726
133	0.8132043173
134	0.8131187832
135	0.8130575873
136	0.8129794469
137	0.8127865711
138	0.8127293514
139	0.8125483225
140	0.8124590469
141	0.812288528
142	0.8120766009
143	0.8120019231
144	0.8119407177
145	0.8117334979
146	0.8115791659
147	0.8113687342
148	0.8113035974
149	0.8112318939
150	0.8111536073
151	0.8110854451
152	0.8110295401
153	0.8108072219
154	0.8107552848
155	0.810706693
156	0.8106317617
157	0.8105737801
158	0.8105118643
159	0.8104610628
160	0.8104020773
161	0.8103370943
162	0.810274192
163	0.8100901665
164	0.8099968857
165	0.8099490711
166	0.8098838844
167	0.8097305555
168	0.8096001972
169	0.80938555
170	0.8092149952
171	0.8090537843
172	0.8088700458
